City,LSTM_MAE_24h,Baseline_MAE_24h,LSTM_MAE_48h,Baseline_MAE_48h
Ahmedabad,6.573310375213623,6.532040119171143,8.929617881774902,8.839506149291992
Belagavi,3.146545886993408,2.862433910369873,3.694906711578369,3.6625514030456543
Bengaluru,5.373698711395264,5.328042507171631,6.580711364746094,6.6002349853515625
Chennai,12.905545234680176,12.897119522094727,17.0131893157959,17.116989135742188
Delhi,62.005592346191406,62.0770149230957,86.89662170410156,87.31099700927734
Hubballi,3.469895839691162,3.276308059692383,4.196939945220947,4.181657791137695
Hyderabad,6.497469425201416,6.432098865509033,7.971930503845215,8.027043342590332
Kolkata,14.80016803741455,14.811287879943848,19.227270126342773,19.285715103149414
Mumbai,4.74826192855835,4.547913074493408,6.222105503082275,6.204585552215576
Pune,4.378959655761719,4.2104644775390625,5.84385347366333,5.790123462677002
